epoch,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-31.850723266601562,-22.008134841918945,0,,,-0.012040631845593452,0.8513870239257812,,
0,-22.008134841918945,-31.850723266601562,,,3,0.8513870239257812,-0.012040631845593452,,,,
0,,,,,3,,,,,0.14104709029197693,
,,,-28.121715545654297,-18.061616897583008,1,,,-0.03182925656437874,0.8273465037345886,,
1,-18.061616897583008,-28.121715545654297,,,7,0.8273465037345886,-0.03182925656437874,,,,
1,,,,,7,,,,,0.12042002379894257,
,,,-30.762266159057617,-20.734756469726562,2,,,-0.053297944366931915,0.804277241230011,,
2,-20.734756469726562,-30.762266159057617,,,11,0.804277241230011,-0.053297944366931915,,,,
2,,,,,11,,,,,0.13303197920322418,
,,,-30.1492862701416,-20.445249557495117,3,,,-0.06259182095527649,0.770493745803833,,
3,-20.445249557495117,-30.1492862701416,,,15,0.770493745803833,-0.06259182095527649,,,,
3,,,,,15,,,,,0.11403012275695801,
,,,-29.889097213745117,-19.6170711517334,4,,,-0.07502854615449905,0.778089165687561,,
4,-19.6170711517334,-29.889097213745117,,,19,0.778089165687561,-0.07502854615449905,,,,
4,,,,,19,,,,,0.11991358548402786,
,,,-29.75139617919922,-19.381864547729492,5,,,-0.07875151187181473,0.7830583453178406,,
5,-19.381864547729492,-29.75139617919922,,,23,0.7830583453178406,-0.07875151187181473,,,,
5,,,,,23,,,,,0.11879166215658188,
,,,-23.55329132080078,-15.00858211517334,6,,,-0.07568109035491943,0.7163175940513611,,
6,-15.00858211517334,-23.55329132080078,,,27,0.7163175940513611,-0.07568109035491943,,,,
6,,,,,27,,,,,0.131738543510437,
,,,-27.66023063659668,-17.91288185119629,7,,,-0.0659208595752716,0.7862226963043213,,
7,-17.91288185119629,-27.66023063659668,,,31,0.7862226963043213,-0.0659208595752716,,,,
7,,,,,31,,,,,0.10694989562034607,
,,,-25.25200653076172,-17.35320472717285,8,,,-0.05516214296221733,0.6776103377342224,,
8,-17.35320472717285,-25.25200653076172,,,35,0.6776103377342224,-0.05516214296221733,,,,
8,,,,,35,,,,,0.10757008194923401,
,,,-57.29025650024414,-47.41211700439453,9,,,-0.05799221992492676,0.8050166964530945,,
9,-47.41211700439453,-57.29025650024414,,,39,0.8050166964530945,-0.05799221992492676,,,,
9,,,,,39,,,,,0.14073926210403442,
,,,-29.108238220214844,-18.909971237182617,10,,,-0.04493460804224014,0.8101843595504761,,
10,-18.909971237182617,-29.108238220214844,,,43,0.8101843595504761,-0.04493460804224014,,,,
10,,,,,43,,,,,0.1413528025150299,
,,,-28.60394287109375,-18.51934051513672,11,,,-0.053573109209537506,0.8044291734695435,,
11,-18.51934051513672,-28.60394287109375,,,47,0.8044291734695435,-0.053573109209537506,,,,
11,,,,,47,,,,,0.11665041744709015,
12,,,,,49,,,,,,0.09485586732625961
,,,-28.167560577392578,-18.30426788330078,12,,,-0.037798922508955,0.8205613493919373,,
12,-18.30426788330078,-28.167560577392578,,,51,0.8205613493919373,-0.037798922508955,,,,
12,,,,,51,,,,,0.13292917609214783,
,,,-25.243633270263672,-17.340404510498047,13,,,-0.015696179121732712,0.7100504636764526,,
13,-17.340404510498047,-25.243633270263672,,,55,0.7100504636764526,-0.015696179121732712,,,,
13,,,,,55,,,,,0.09950189292430878,
,,,-25.0156307220459,-15.993708610534668,14,,,-0.0252978652715683,0.773614764213562,,
14,-15.993708610534668,-25.0156307220459,,,59,0.773614764213562,-0.0252978652715683,,,,
14,,,,,59,,,,,0.13453102111816406,
,,,-26.385299682617188,-17.656858444213867,15,,,-0.02626660279929638,0.763311505317688,,
15,-17.656858444213867,-26.385299682617188,,,63,0.763311505317688,-0.02626660279929638,,,,
15,,,,,63,,,,,0.11969301104545593,
,,,-24.61493492126465,-14.877962112426758,16,,,-0.026869608089327812,0.8100849390029907,,
16,-14.877962112426758,-24.61493492126465,,,67,0.8100849390029907,-0.026869608089327812,,,,
16,,,,,67,,,,,0.11138670146465302,
,,,-27.927204132080078,-19.779508590698242,17,,,-0.016398785635828972,0.7345330119132996,,
17,-19.779508590698242,-27.927204132080078,,,71,0.7345330119132996,-0.016398785635828972,,,,
17,,,,,71,,,,,0.09535937011241913,
,,,-29.337207794189453,-19.27907371520996,18,,,-0.026485955342650414,0.8327893614768982,,
18,-19.27907371520996,-29.337207794189453,,,75,0.8327893614768982,-0.026485955342650414,,,,
18,,,,,75,,,,,0.12167294323444366,
,,,-27.09426498413086,-16.87795639038086,19,,,-0.018671002238988876,0.8361541032791138,,
19,-16.87795639038086,-27.09426498413086,,,79,0.8361541032791138,-0.018671002238988876,,,,
19,,,,,79,,,,,0.12313675135374069,
