epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-0.06145143508911133,1.848996877670288,0,,,-0.011779683642089367,0.8319805264472961,,
0,1.848996877670288,-0.06145143508911133,,,3,0.8319805264472961,-0.011779683642089367,,,,
0,,,,,3,,,,,0.14903081953525543,
,,,-0.0006916522979736328,1.946866750717163,1,,,-0.009373593144118786,0.7912399768829346,,
1,1.946866750717163,-0.0006916522979736328,,,7,0.7912399768829346,-0.009373593144118786,,,,
1,,,,,7,,,,,0.15149471163749695,
,,,-0.04984021186828613,1.828552484512329,2,,,-0.014493153430521488,0.8322152495384216,,
2,1.828552484512329,-0.04984021186828613,,,11,0.8322152495384216,-0.014493153430521488,,,,
2,,,,,11,,,,,0.11914971470832825,
,,,-0.15754902362823486,1.866019606590271,3,,,-0.02215633913874626,0.7299816012382507,,
3,1.866019606590271,-0.15754902362823486,,,15,0.7299816012382507,-0.02215633913874626,,,,
3,,,,,15,,,,,0.1275419145822525,
,,,-0.2703421115875244,1.6908137798309326,4,,,-0.026039624586701393,0.7552837133407593,,
4,1.6908137798309326,-0.2703421115875244,,,19,0.7552837133407593,-0.026039624586701393,,,,
4,,,,,19,,,,,0.1434393972158432,
,,,-0.3363635540008545,1.6911611557006836,5,,,-0.027741670608520508,0.7368249893188477,,
5,1.6911611557006836,-0.3363635540008545,,,23,0.7368249893188477,-0.027741670608520508,,,,
5,,,,,23,,,,,0.1152515709400177,
,,,-0.3369150161743164,1.4447884559631348,6,,,-0.05727652087807655,0.7989364862442017,,
6,1.4447884559631348,-0.3369150161743164,,,27,0.7989364862442017,-0.05727652087807655,,,,
6,,,,,27,,,,,0.13111133873462677,
,,,-0.5730669498443604,1.300331950187683,7,,,-0.06585494428873062,0.780234158039093,,
7,1.300331950187683,-0.5730669498443604,,,31,0.780234158039093,-0.06585494428873062,,,,
7,,,,,31,,,,,0.11878480017185211,
,,,-0.6143496036529541,1.3637943267822266,8,,,-0.06155458837747574,0.698118269443512,,
8,1.3637943267822266,-0.6143496036529541,,,35,0.698118269443512,-0.06155458837747574,,,,
8,,,,,35,,,,,0.11567042768001556,
,,,-0.5460079908370972,1.274388313293457,9,,,-0.08471392095088959,0.7742683291435242,,
9,1.274388313293457,-0.5460079908370972,,,39,0.7742683291435242,-0.08471392095088959,,,,
9,,,,,39,,,,,0.11668446660041809,
,,,-0.48592066764831543,1.2472326755523682,10,,,-0.08102283626794815,0.7829514145851135,,
10,1.2472326755523682,-0.48592066764831543,,,43,0.7829514145851135,-0.08102283626794815,,,,
10,,,,,43,,,,,0.1422169804573059,
,,,-0.49109041690826416,1.3138999938964844,11,,,-0.0739063024520874,0.7789355516433716,,
11,1.3138999938964844,-0.49109041690826416,,,47,0.7789355516433716,-0.0739063024520874,,,,
11,,,,,47,,,,,0.10612338781356812,
12,,,,,49,,,,,,0.08899890631437302
,,,-0.48765838146209717,1.2750836610794067,12,,,-0.07062900066375732,0.7939833402633667,,
12,1.2750836610794067,-0.48765838146209717,,,51,0.7939833402633667,-0.07062900066375732,,,,
12,,,,,51,,,,,0.10117554664611816,
,,,-0.38105762004852295,1.3894315958023071,13,,,-0.0743473693728447,0.7785012125968933,,
13,1.3894315958023071,-0.38105762004852295,,,55,0.7785012125968933,-0.0743473693728447,,,,
13,,,,,55,,,,,0.10905121266841888,
,,,-0.44767963886260986,1.3946279287338257,14,,,-0.059165194630622864,0.8005470037460327,,
14,1.3946279287338257,-0.44767963886260986,,,59,0.8005470037460327,-0.059165194630622864,,,,
14,,,,,59,,,,,0.10747376084327698,
,,,-0.4656352996826172,1.346118688583374,15,,,-0.07249315083026886,0.7824832797050476,,
15,1.346118688583374,-0.4656352996826172,,,63,0.7824832797050476,-0.07249315083026886,,,,
15,,,,,63,,,,,0.11672201007604599,
,,,-0.5257272720336914,1.320186734199524,16,,,-0.06428197771310806,0.7917250990867615,,
16,1.320186734199524,-0.5257272720336914,,,67,0.7917250990867615,-0.06428197771310806,,,,
16,,,,,67,,,,,0.11021541059017181,
,,,-0.4188905954360962,1.3608416318893433,17,,,-0.05315091833472252,0.799358069896698,,
17,1.3608416318893433,-0.4188905954360962,,,71,0.799358069896698,-0.05315091833472252,,,,
17,,,,,71,,,,,0.1005614846944809,
,,,-0.42333853244781494,1.452062726020813,18,,,-0.060811907052993774,0.8013207912445068,,
18,1.452062726020813,-0.42333853244781494,,,75,0.8013207912445068,-0.060811907052993774,,,,
18,,,,,75,,,,,0.10670492053031921,
,,,-0.47473394870758057,1.475354790687561,19,,,-0.04565568268299103,0.7748713493347168,,
19,1.475354790687561,-0.47473394870758057,,,79,0.7748713493347168,-0.04565568268299103,,,,
19,,,,,79,,,,,0.1255168616771698,
