epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch
,,,0.02287839911878109,1.7316830158233643,,,-18.94565200805664,-11.517363548278809,0,,,-0.00323112728074193,0.9114544987678528,
0,1.7316831350326538,0.02287839911878109,,,-11.517363548278809,-18.94565200805664,,,2,0.9114544987678528,-0.0032311275135725737,,,
0,,,,,,,,,2,,,,,0.19438347220420837
,,,0.04387819766998291,1.8208132982254028,,,-18.7968692779541,-11.885137557983398,1,,,-0.007478631101548672,0.8962331414222717,
1,1.8208132982254028,0.04387819766998291,,,-11.885136604309082,-18.7968692779541,,,5,0.8962331414222717,-0.007478630635887384,,,
1,,,,,,,,,5,,,,,0.17742019891738892
,,,-0.020101994276046753,1.7415461540222168,,,-20.909809112548828,-13.708776473999023,2,,,-0.014702880755066872,0.8948443531990051,
2,1.7415461540222168,-0.020101994276046753,,,-13.708775520324707,-20.909809112548828,,,8,0.8948443531990051,-0.014702881686389446,,,
2,,,,,,,,,8,,,,,0.16337904334068298
