epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch
,,,-0.42911964654922485,1.3477030992507935,,,-9.587193489074707,-2.018352508544922,0,,,-0.03108998015522957,0.8829962611198425,
0,1.3477030992507935,-0.42911967635154724,,,-2.018352508544922,-9.587193489074707,,,3,0.8829962611198425,-0.031089982017874718,,,
0,,,,,,,,,3,,,,,0.18095310032367706
,,,-0.5551511645317078,1.2603931427001953,,,-11.086784362792969,-3.5776150226593018,1,,,-0.05653417482972145,0.8625921010971069,
1,1.2603931427001953,-0.5551511645317078,,,-3.5776150226593018,-11.086784362792969,,,7,0.8625920414924622,-0.05653417482972145,,,
1,,,,,,,,,7,,,,,0.14463581144809723
