epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-0.09957003593444824,1.7362644672393799,0,,,-0.006348999682813883,0.8569497466087341,,
0,1.7362644672393799,-0.09957003593444824,,,3,0.8569497466087341,-0.006348999682813883,,,,
0,,,,,3,,,,,0.1539795994758606,
,,,-0.11513245105743408,1.7134878635406494,1,,,-0.01078130304813385,0.8483539819717407,,
1,1.7134878635406494,-0.11513245105743408,,,7,0.8483539819717407,-0.01078130304813385,,,,
1,,,,,7,,,,,0.126579150557518,
,,,-0.17768800258636475,1.6455820798873901,2,,,-0.018180349841713905,0.837687611579895,,
2,1.6455820798873901,-0.17768800258636475,,,11,0.837687611579895,-0.018180349841713905,,,,
2,,,,,11,,,,,0.15294769406318665,
,,,-0.2820380926132202,1.479828119277954,3,,,-0.030056236311793327,0.8234044909477234,,
3,1.479828119277954,-0.2820380926132202,,,15,0.8234044909477234,-0.030056236311793327,,,,
3,,,,,15,,,,,0.13173232972621918,
,,,-0.47931694984436035,1.344362497329712,4,,,-0.044961586594581604,0.8125041127204895,,
4,1.344362497329712,-0.47931694984436035,,,19,0.8125041127204895,-0.044961586594581604,,,,
4,,,,,19,,,,,0.12457215785980225,
,,,-0.6382768154144287,1.3188800811767578,5,,,-0.042693328112363815,0.7335824966430664,,
5,1.3188800811767578,-0.6382768154144287,,,23,0.7335824966430664,-0.042693328112363815,,,,
5,,,,,23,,,,,0.11908868700265884,
,,,-0.5582455396652222,1.21450936794281,6,,,-0.07463373988866806,0.7811641097068787,,
6,1.21450936794281,-0.5582455396652222,,,27,0.7811641097068787,-0.07463373988866806,,,,
6,,,,,27,,,,,0.12590861320495605,
,,,-0.7163468599319458,1.2658265829086304,7,,,-0.07906711101531982,0.7044429779052734,,
7,1.2658265829086304,-0.7163468599319458,,,31,0.7044429779052734,-0.07906711101531982,,,,
7,,,,,31,,,,,0.10945935547351837,
,,,-0.6138114929199219,1.1856391429901123,8,,,-0.10749725997447968,0.7502413392066956,,
8,1.1856391429901123,-0.6138114929199219,,,35,0.7502413392066956,-0.10749725997447968,,,,
8,,,,,35,,,,,0.12087663263082504,
,,,-0.7404903173446655,1.2418997287750244,9,,,-0.0802774578332901,0.6666006445884705,,
9,1.2418997287750244,-0.7404903173446655,,,39,0.6666006445884705,-0.0802774578332901,,,,
9,,,,,39,,,,,0.10812958329916,
,,,-0.7453768253326416,1.1884098052978516,10,,,-0.08356117457151413,0.7553956508636475,,
10,1.1884098052978516,-0.7453768253326416,,,43,0.7553956508636475,-0.08356117457151413,,,,
10,,,,,43,,,,,0.13881367444992065,
,,,-0.7289347648620605,1.2500038146972656,11,,,-0.0896410122513771,0.6900144815444946,,
11,1.2500038146972656,-0.7289347648620605,,,47,0.6900144815444946,-0.0896410122513771,,,,
11,,,,,47,,,,,0.10841628909111023,
12,,,,,49,,,,,,0.15714195370674133
,,,-0.7765932083129883,1.2117326259613037,12,,,-0.08695262670516968,0.7400779724121094,,
12,1.2117326259613037,-0.7765932083129883,,,51,0.7400779724121094,-0.08695262670516968,,,,
12,,,,,51,,,,,0.10930536687374115,
,,,-0.5377671718597412,1.2452898025512695,13,,,-0.08372654020786285,0.7660583853721619,,
13,1.2452898025512695,-0.5377671718597412,,,55,0.7660583853721619,-0.08372654020786285,,,,
13,,,,,55,,,,,0.10673293471336365,
,,,-0.7017005681991577,1.2258750200271606,14,,,-0.08333147317171097,0.7458409667015076,,
14,1.2258750200271606,-0.7017005681991577,,,59,0.7458409667015076,-0.08333147317171097,,,,
14,,,,,59,,,,,0.11288757622241974,
,,,-0.49203920364379883,1.2663846015930176,15,,,-0.0770283043384552,0.7823801040649414,,
15,1.2663846015930176,-0.49203920364379883,,,63,0.7823801040649414,-0.0770283043384552,,,,
15,,,,,63,,,,,0.13806112110614777,
,,,-0.7022309303283691,1.2707715034484863,16,,,-0.08496683090925217,0.7576431632041931,,
16,1.2707715034484863,-0.7022309303283691,,,67,0.7576431632041931,-0.08496683090925217,,,,
16,,,,,67,,,,,0.13771241903305054,
,,,-0.5853525400161743,1.2272616624832153,17,,,-0.09347984939813614,0.7636494636535645,,
17,1.2272616624832153,-0.5853525400161743,,,71,0.7636494636535645,-0.09347984939813614,,,,
17,,,,,71,,,,,0.13781924545764923,
,,,-0.6093058586120605,1.356933355331421,18,,,-0.0444483608007431,0.6753510236740112,,
18,1.356933355331421,-0.6093058586120605,,,75,0.6753510236740112,-0.0444483608007431,,,,
18,,,,,75,,,,,0.13579648733139038,
,,,-0.5535277128219604,1.2902988195419312,19,,,-0.08083973079919815,0.7755525708198547,,
19,1.2902988195419312,-0.5535277128219604,,,79,0.7755525708198547,-0.08083973079919815,,,,
19,,,,,79,,,,,0.10143893212080002,
