epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-0.0592348575592041,1.9333748817443848,,,-17.273418426513672,-8.134575843811035,0,,,-0.0016382994363084435,0.8034734725952148,,
0,1.9333748817443848,-0.0592348575592041,,,-8.134575843811035,-17.273418426513672,,,3,0.8034734725952148,-0.0016382994363084435,,,,
0,,,,,,,,,3,,,,,0.15654224157333374,
,,,-0.14882826805114746,1.6469244956970215,,,-17.93807601928711,-7.5576171875,1,,,-0.020491916686296463,0.8411821722984314,,
1,1.6469244956970215,-0.14882826805114746,,,-7.5576171875,-17.93807601928711,,,7,0.8411821722984314,-0.020491916686296463,,,,
1,,,,,,,,,7,,,,,0.14322485029697418,
,,,-0.3260873556137085,1.4943844079971313,,,-16.842649459838867,-7.109019756317139,2,,,-0.038098689168691635,0.8051257729530334,,
2,1.4943844079971313,-0.3260873556137085,,,-7.109019756317139,-16.842649459838867,,,11,0.8051257729530334,-0.038098689168691635,,,,
2,,,,,,,,,11,,,,,0.13956227898597717,
,,,-0.5231192111968994,1.4044779539108276,,,-17.889535903930664,-8.65782642364502,3,,,-0.05374680832028389,0.7604294419288635,,
3,1.4044779539108276,-0.5231192111968994,,,-8.65782642364502,-17.889535903930664,,,15,0.7604294419288635,-0.05374680832028389,,,,
3,,,,,,,,,15,,,,,0.1387912929058075,
,,,-0.6537550687789917,1.3031069040298462,,,-21.740432739257812,-11.933731079101562,4,,,-0.07230500876903534,0.7566976547241211,,
4,1.3031069040298462,-0.6537550687789917,,,-11.933731079101562,-21.740432739257812,,,19,0.7566976547241211,-0.07230500876903534,,,,
4,,,,,,,,,19,,,,,0.11772797256708145,
,,,-0.6098099946975708,1.3788787126541138,,,-25.55512237548828,-16.464767456054688,5,,,-0.07128788530826569,0.7456333041191101,,
5,1.3788787126541138,-0.6098099946975708,,,-16.464767456054688,-25.55512237548828,,,23,0.7456333041191101,-0.07128788530826569,,,,
5,,,,,,,,,23,,,,,0.13287851214408875,
,,,-0.5450488328933716,1.3723808526992798,,,-25.02098274230957,-16.781635284423828,6,,,-0.07423169165849686,0.6750110983848572,,
6,1.3723808526992798,-0.5450488328933716,,,-16.781635284423828,-25.02098274230957,,,27,0.6750110983848572,-0.07423169165849686,,,,
6,,,,,,,,,27,,,,,0.13884377479553223,
,,,-0.4896705150604248,1.2825937271118164,,,-59.467647552490234,-49.46589660644531,7,,,-0.09651653468608856,0.7632627487182617,,
7,1.2825937271118164,-0.4896705150604248,,,-49.46589660644531,-59.467647552490234,,,31,0.7632627487182617,-0.09651653468608856,,,,
7,,,,,,,,,31,,,,,0.12995362281799316,
,,,-0.6702439785003662,1.3271573781967163,,,-39.07898712158203,-29.983922958374023,8,,,-0.07959872484207153,0.7270108461380005,,
8,1.3271573781967163,-0.6702439785003662,,,-29.983922958374023,-39.07898712158203,,,35,0.7270108461380005,-0.07959872484207153,,,,
8,,,,,,,,,35,,,,,0.12504813075065613,
,,,-0.6235944032669067,1.3270622491836548,,,-40.98625183105469,-32.21407699584961,9,,,-0.08945745974779129,0.7137290835380554,,
9,1.3270622491836548,-0.6235944032669067,,,-32.21407699584961,-40.98625183105469,,,39,0.7137290835380554,-0.08945745974779129,,,,
9,,,,,,,,,39,,,,,0.1326940506696701,
,,,-0.5363457202911377,1.2516062259674072,,,-34.648353576660156,-24.405927658081055,10,,,-0.09151554107666016,0.7588502764701843,,
10,1.2516062259674072,-0.5363457202911377,,,-24.405927658081055,-34.648353576660156,,,43,0.7588502764701843,-0.09151554107666016,,,,
10,,,,,,,,,43,,,,,0.11270809173583984,
,,,-0.6569364070892334,1.3220665454864502,,,-25.660749435424805,-16.48369026184082,11,,,-0.06707142293453217,0.7438973188400269,,
11,1.3220665454864502,-0.6569364070892334,,,-16.48369026184082,-25.660749435424805,,,47,0.7438973188400269,-0.06707142293453217,,,,
11,,,,,,,,,47,,,,,0.12853489816188812,
12,,,,,,,,,49,,,,,,0.09521324187517166
,,,-0.551978349685669,1.2631664276123047,,,-26.680994033813477,-16.679468154907227,12,,,-0.08352679759263992,0.7767961025238037,,
12,1.2631664276123047,-0.551978349685669,,,-16.679468154907227,-26.680994033813477,,,51,0.7767961025238037,-0.08352679759263992,,,,
12,,,,,,,,,51,,,,,0.11228903383016586,
,,,-0.5405365228652954,1.2525943517684937,,,-34.58755874633789,-24.617023468017578,13,,,-0.0718262791633606,0.7850199341773987,,
13,1.2525943517684937,-0.5405365228652954,,,-24.617023468017578,-34.58755874633789,,,55,0.7850199341773987,-0.0718262791633606,,,,
13,,,,,,,,,55,,,,,0.13144326210021973,
,,,-0.5414330959320068,1.3238234519958496,,,-25.860767364501953,-15.984692573547363,14,,,-0.08392830193042755,0.7691379189491272,,
14,1.3238234519958496,-0.5414330959320068,,,-15.984692573547363,-25.860767364501953,,,59,0.7691379189491272,-0.08392830193042755,,,,
14,,,,,,,,,59,,,,,0.12386365234851837,
,,,-0.5992072820663452,1.3519861698150635,,,-19.66227912902832,-10.547490119934082,15,,,-0.07033959031105042,0.743824303150177,,
15,1.3519861698150635,-0.5992072820663452,,,-10.547490119934082,-19.66227912902832,,,63,0.743824303150177,-0.07033959031105042,,,,
15,,,,,,,,,63,,,,,0.1267751157283783,
,,,-0.514258623123169,1.311802864074707,,,-22.050960540771484,-12.230185508728027,16,,,-0.06849408894777298,0.7861406207084656,,
16,1.311802864074707,-0.514258623123169,,,-12.230185508728027,-22.050960540771484,,,67,0.7861406207084656,-0.06849408894777298,,,,
16,,,,,,,,,67,,,,,0.10880777984857559,
,,,-0.41252338886260986,1.35480535030365,,,-20.051185607910156,-10.125771522521973,17,,,-0.08027436584234238,0.7830078601837158,,
17,1.35480535030365,-0.41252338886260986,,,-10.125771522521973,-20.051185607910156,,,71,0.7830078601837158,-0.08027436584234238,,,,
17,,,,,,,,,71,,,,,0.115687295794487,
,,,-0.4641026258468628,1.350197196006775,,,-18.80343246459961,-8.546101570129395,18,,,-0.07692762464284897,0.7834975719451904,,
18,1.350197196006775,-0.4641026258468628,,,-8.546101570129395,-18.80343246459961,,,75,0.7834975719451904,-0.07692762464284897,,,,
18,,,,,,,,,75,,,,,0.10524221509695053,
,,,-0.497633695602417,1.397289752960205,,,-14.889228820800781,-6.9572601318359375,19,,,-0.046268802136182785,0.6923220753669739,,
19,1.397289752960205,-0.497633695602417,,,-6.9572601318359375,-14.889228820800781,,,79,0.6923220753669739,-0.046268802136182785,,,,
19,,,,,,,,,79,,,,,0.13630318641662598,
