epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
0,,,,,,,,,49,,,,,,0.11069704592227936
0,,,,,,,,,99,,,,,,0.11140706390142441
,,,-0.07521650195121765,1.1077407598495483,,,-18.343441009521484,-11.152847290039062,0,,,-0.0733867660164833,0.755423367023468,,
,,,-0.7076411247253418,1.1856744289398193,,,-17.936450958251953,-10.503334045410156,1,,,-0.09670740365982056,0.7921417355537415,,
,,,-0.9611670970916748,1.3523051738739014,,,-17.770227432250977,-10.177641868591309,2,,,-0.12580634653568268,0.8624547123908997,,
,,,-0.26437947154045105,1.2676023244857788,,,-16.393211364746094,-8.025562286376953,3,,,-0.12930838763713837,0.8551108837127686,,
,,,-0.3693729341030121,1.1869189739227295,,,-17.662057876586914,-9.856990814208984,4,,,-0.10114653408527374,0.8266512751579285,,
,,,-0.136832594871521,1.127606749534607,,,-14.54636287689209,-8.884176254272461,5,,,-0.07807721942663193,0.7798599004745483,,
,,,-0.007762312889099121,1.1437931060791016,,,-17.768260955810547,-10.700156211853027,6,,,-0.09323601424694061,0.7745357751846313,,
,,,-0.11476209759712219,1.1701328754425049,,,-19.685291290283203,-11.126018524169922,7,,,-0.10078790783882141,0.8154100775718689,,
,,,-0.18667376041412354,1.169110655784607,,,-17.251588821411133,-9.327828407287598,8,,,-0.11073312163352966,0.8110188245773315,,
,,,-0.07520395517349243,1.1780877113342285,,,-15.591413497924805,-9.831143379211426,9,,,-0.09022155404090881,0.8095877170562744,,
,,,-0.3120827078819275,1.2232199907302856,,,-19.27185821533203,-9.99677562713623,10,,,-0.12099965661764145,0.8197334408760071,,
,,,-0.31633487343788147,1.2223292589187622,,,-23.81024932861328,-12.964251518249512,11,,,-0.09740522503852844,0.8417388200759888,,
