epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,0.018512248992919922,1.8398754596710205,0,,,-0.0018813717179000378,0.8493058085441589,,
0,1.8398754596710205,0.018512248992919922,,,3,0.8493058085441589,-0.0018813717179000378,,,,
0,,,,,3,,,,,0.40607061982154846,
,,,-0.03761148452758789,1.7759172916412354,1,,,-0.0020901330281049013,0.8572794198989868,,
1,1.7759172916412354,-0.03761148452758789,,,7,0.8572794198989868,-0.0020901330281049013,,,,
1,,,,,7,,,,,0.3896019458770752,
,,,0.013563275337219238,1.9722914695739746,2,,,-0.004537015222012997,0.8352680802345276,,
2,1.9722914695739746,0.013563275337219238,,,11,0.8352680802345276,-0.004537015222012997,,,,
2,,,,,11,,,,,0.4041769206523895,
,,,-0.06446206569671631,1.7211143970489502,3,,,-0.009074490517377853,0.8554592728614807,,
3,1.7211143970489502,-0.06446206569671631,,,15,0.8554592728614807,-0.009074490517377853,,,,
3,,,,,15,,,,,0.3479143977165222,
,,,-0.05579984188079834,1.7370834350585938,4,,,-0.017744697630405426,0.8478749990463257,,
4,1.7370834350585938,-0.05579984188079834,,,19,0.8478749990463257,-0.017744697630405426,,,,
4,,,,,19,,,,,0.3906928300857544,
,,,-0.18238496780395508,1.7739477157592773,5,,,-0.01678169146180153,0.8224583864212036,,
5,1.7739477157592773,-0.18238496780395508,,,23,0.8224583864212036,-0.01678169146180153,,,,
5,,,,,23,,,,,0.3888770341873169,
,,,-0.17412495613098145,1.7875220775604248,6,,,-0.01848229579627514,0.7637065052986145,,
6,1.7875220775604248,-0.17412495613098145,,,27,0.7637065052986145,-0.01848229579627514,,,,
6,,,,,27,,,,,0.35257047414779663,
,,,-0.3313819169998169,1.5125854015350342,7,,,-0.03690735250711441,0.8111293315887451,,
7,1.5125854015350342,-0.3313819169998169,,,31,0.8111293315887451,-0.03690735250711441,,,,
7,,,,,31,,,,,0.36488890647888184,
,,,-0.3643317222595215,1.4440762996673584,8,,,-0.048181746155023575,0.810752272605896,,
8,1.4440762996673584,-0.3643317222595215,,,35,0.810752272605896,-0.048181746155023575,,,,
8,,,,,35,,,,,0.318265825510025,
,,,-0.343583345413208,1.4205551147460938,9,,,-0.07552258670330048,0.7893481254577637,,
9,1.4205551147460938,-0.343583345413208,,,39,0.7893481254577637,-0.07552258670330048,,,,
9,,,,,39,,,,,0.32947081327438354,
,,,-0.460391640663147,1.375259280204773,10,,,-0.0783199816942215,0.7847914695739746,,
10,1.375259280204773,-0.460391640663147,,,43,0.7847914695739746,-0.0783199816942215,,,,
10,,,,,43,,,,,0.3368247449398041,
,,,-0.43942558765411377,1.5208629369735718,11,,,-0.06964246928691864,0.7231479287147522,,
11,1.5208629369735718,-0.43942558765411377,,,47,0.7231479287147522,-0.06964246928691864,,,,
11,,,,,47,,,,,0.31181520223617554,
12,,,,,49,,,,,,0.29411718249320984
,,,-0.3761187791824341,1.4414911270141602,12,,,-0.07741852104663849,0.7692978978157043,,
12,1.4414911270141602,-0.3761187791824341,,,51,0.7692978978157043,-0.07741852104663849,,,,
12,,,,,51,,,,,0.2909413278102875,
,,,-0.327506422996521,1.441358208656311,13,,,-0.06444045156240463,0.7868773341178894,,
13,1.441358208656311,-0.327506422996521,,,55,0.7868773341178894,-0.06444045156240463,,,,
13,,,,,55,,,,,0.2853764295578003,
,,,-0.4464683532714844,1.3634021282196045,14,,,-0.06340440362691879,0.7877673506736755,,
14,1.3634021282196045,-0.4464683532714844,,,59,0.7877673506736755,-0.06340440362691879,,,,
14,,,,,59,,,,,0.2943938374519348,
,,,-0.6320933103561401,1.3450584411621094,15,,,-0.05916377529501915,0.7771284580230713,,
15,1.3450584411621094,-0.6320933103561401,,,63,0.7771284580230713,-0.05916377529501915,,,,
15,,,,,63,,,,,0.298164963722229,
,,,-0.4239464998245239,1.4167101383209229,16,,,-0.05192755162715912,0.7967719435691833,,
16,1.4167101383209229,-0.4239464998245239,,,67,0.7967719435691833,-0.05192755162715912,,,,
16,,,,,67,,,,,0.2741363048553467,
,,,-0.525994062423706,1.3749308586120605,17,,,-0.04573963209986687,0.8037423491477966,,
17,1.3749308586120605,-0.525994062423706,,,71,0.8037423491477966,-0.04573963209986687,,,,
17,,,,,71,,,,,0.2957192659378052,
,,,-0.5896918773651123,1.3927276134490967,18,,,-0.03538331016898155,0.7847936153411865,,
18,1.3927276134490967,-0.5896918773651123,,,75,0.7847936153411865,-0.03538331016898155,,,,
18,,,,,75,,,,,0.29527777433395386,
,,,-0.4512990713119507,1.565280795097351,19,,,-0.013369154185056686,0.7605450749397278,,
19,1.565280795097351,-0.4512990713119507,,,79,0.7605450749397278,-0.013369154185056686,,,,
19,,,,,79,,,,,0.2744850516319275,
