epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-0.12907731533050537,1.809426188468933,0,,,-0.017714329063892365,0.7694040536880493,,
0,1.809426188468933,-0.12907731533050537,,,3,0.7694040536880493,-0.017714329063892365,,,,
0,,,,,3,,,,,8.768508911132812,
,,,-0.3892374038696289,1.6143980026245117,1,,,-0.041988443583250046,0.7562660574913025,,
1,1.6143980026245117,-0.3892374038696289,,,7,0.7562660574913025,-0.041988443583250046,,,,
1,,,,,7,,,,,8.732574462890625,
,,,-0.46323108673095703,1.5180466175079346,2,,,-0.054365791380405426,0.7509139776229858,,
2,1.5180466175079346,-0.46323108673095703,,,11,0.7509139776229858,-0.054365791380405426,,,,
2,,,,,11,,,,,8.695387840270996,
,,,-0.4148671627044678,1.3540812730789185,3,,,-0.06304983049631119,0.7869033217430115,,
3,1.3540812730789185,-0.4148671627044678,,,15,0.7869033217430115,-0.06304983049631119,,,,
3,,,,,15,,,,,8.684277534484863,
,,,-0.49746084213256836,1.3436750173568726,4,,,-0.07264880836009979,0.7773324251174927,,
4,1.3436750173568726,-0.49746084213256836,,,19,0.7773324251174927,-0.07264880836009979,,,,
4,,,,,19,,,,,8.650840759277344,
,,,-0.5754165649414062,1.2534115314483643,5,,,-0.05997435376048088,0.7916359901428223,,
5,1.2534115314483643,-0.5754165649414062,,,23,0.7916359901428223,-0.05997435376048088,,,,
5,,,,,23,,,,,8.623271942138672,
,,,-0.4821392297744751,1.4017528295516968,6,,,-0.049764931201934814,0.6904723644256592,,
6,1.4017528295516968,-0.4821392297744751,,,27,0.6904723644256592,-0.049764931201934814,,,,
6,,,,,27,,,,,8.572086334228516,
,,,-0.5625042915344238,1.4194470643997192,7,,,-0.0633990615606308,0.7489154934883118,,
7,1.4194470643997192,-0.5625042915344238,,,31,0.7489154934883118,-0.0633990615606308,,,,
7,,,,,31,,,,,8.61212158203125,
,,,-0.4817317724227905,1.328226089477539,8,,,-0.0952792838215828,0.7629687190055847,,
8,1.328226089477539,-0.4817317724227905,,,35,0.7629687190055847,-0.0952792838215828,,,,
8,,,,,35,,,,,8.587679862976074,
,,,-0.5714865922927856,1.440191626548767,9,,,-0.059721313416957855,0.713763415813446,,
9,1.440191626548767,-0.5714865922927856,,,39,0.713763415813446,-0.059721313416957855,,,,
9,,,,,39,,,,,8.598670959472656,
,,,-0.5275381803512573,1.3166791200637817,10,,,-0.0835811123251915,0.7647960186004639,,
10,1.3166791200637817,-0.5275381803512573,,,43,0.7647960186004639,-0.0835811123251915,,,,
10,,,,,43,,,,,8.551526069641113,
,,,-0.5483183860778809,1.4553577899932861,11,,,-0.050911009311676025,0.6931803822517395,,
11,1.4553577899932861,-0.5483183860778809,,,47,0.6931803822517395,-0.050911009311676025,,,,
11,,,,,47,,,,,8.600415229797363,
12,,,,,49,,,,,,8.495543479919434
,,,-0.4700242280960083,1.3256813287734985,12,,,-0.07341747730970383,0.7878818511962891,,
12,1.3256813287734985,-0.4700242280960083,,,51,0.7878818511962891,-0.07341747730970383,,,,
12,,,,,51,,,,,8.559423446655273,
,,,-0.460091233253479,1.2940101623535156,13,,,-0.07432600855827332,0.7819041609764099,,
13,1.2940101623535156,-0.460091233253479,,,55,0.7819041609764099,-0.07432600855827332,,,,
13,,,,,55,,,,,8.541228294372559,
,,,-0.594559907913208,1.3807446956634521,14,,,-0.07744959741830826,0.7414998412132263,,
14,1.3807446956634521,-0.594559907913208,,,59,0.7414998412132263,-0.07744959741830826,,,,
14,,,,,59,,,,,8.518648147583008,
,,,-0.5697950124740601,1.301499605178833,15,,,-0.06608925759792328,0.7923539876937866,,
15,1.301499605178833,-0.5697950124740601,,,63,0.7923539876937866,-0.06608925759792328,,,,
15,,,,,63,,,,,8.5166654586792,
,,,-0.5432865619659424,1.2928788661956787,16,,,-0.08541884273290634,0.7663874626159668,,
16,1.2928788661956787,-0.5432865619659424,,,67,0.7663874626159668,-0.08541884273290634,,,,
16,,,,,67,,,,,8.538187026977539,
,,,-0.45792996883392334,1.318982720375061,17,,,-0.08577386289834976,0.767460286617279,,
17,1.318982720375061,-0.45792996883392334,,,71,0.767460286617279,-0.08577386289834976,,,,
17,,,,,71,,,,,8.518491744995117,
,,,-0.489496111869812,1.3252819776535034,18,,,-0.08718915283679962,0.7647463083267212,,
18,1.3252819776535034,-0.489496111869812,,,75,0.7647463083267212,-0.08718915283679962,,,,
18,,,,,75,,,,,8.53378963470459,
,,,-0.4764378070831299,1.2888802289962769,19,,,-0.07715857774019241,0.7859859466552734,,
19,1.2888802289962769,-0.4764378070831299,,,79,0.7859859466552734,-0.07715857774019241,,,,
19,,,,,79,,,,,8.537025451660156,
