epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-0.053019046783447266,1.9286909103393555,,,-24.36640167236328,-15.307559967041016,0,,,-0.0023284077178686857,0.8069754242897034,,
0,1.9286909103393555,-0.053019046783447266,,,-15.307559967041016,-24.36640167236328,,,3,0.8069754242897034,-0.0023284077178686857,,,,
0,,,,,,,,,3,,,,,0.12000370770692825,
,,,-0.03684079647064209,1.768896222114563,,,-19.937606811523438,-9.670602798461914,1,,,-0.014943149872124195,0.8381927609443665,,
1,1.768896222114563,-0.03684079647064209,,,-9.670602798461914,-19.937606811523438,,,7,0.8381927609443665,-0.014943149872124195,,,,
1,,,,,,,,,7,,,,,0.12169426679611206,
,,,-0.06773567199707031,1.7115895748138428,,,-18.339374542236328,-8.055049896240234,2,,,-0.021447407081723213,0.8439652323722839,,
2,1.7115895748138428,-0.06773567199707031,,,-8.055049896240234,-18.339374542236328,,,11,0.8439652323722839,-0.021447407081723213,,,,
2,,,,,,,,,11,,,,,0.1119246780872345,
,,,-0.18952059745788574,1.8272888660430908,,,-14.292076110839844,-5.803590297698975,3,,,-0.0162920281291008,0.7332134246826172,,
3,1.8272888660430908,-0.18952059745788574,,,-5.803590297698975,-14.292076110839844,,,15,0.7332134246826172,-0.0162920281291008,,,,
3,,,,,,,,,15,,,,,0.1138841062784195,
,,,-0.36206984519958496,1.6462397575378418,,,-13.415796279907227,-4.45740270614624,4,,,-0.02759419195353985,0.7781347632408142,,
4,1.6462397575378418,-0.36206984519958496,,,-4.45740270614624,-13.415796279907227,,,19,0.7781347632408142,-0.02759419195353985,,,,
4,,,,,,,,,19,,,,,0.10904797911643982,
,,,-0.19025886058807373,1.6304047107696533,,,-12.41918659210205,-2.419382095336914,5,,,-0.04447568207979202,0.8174329400062561,,
5,1.6304047107696533,-0.19025886058807373,,,-2.419382095336914,-12.41918659210205,,,23,0.8174329400062561,-0.04447568207979202,,,,
5,,,,,,,,,23,,,,,0.14233902096748352,
,,,-0.35271191596984863,1.6236648559570312,,,-12.280423164367676,-2.470714569091797,6,,,-0.03703075647354126,0.8019948601722717,,
6,1.6236648559570312,-0.35271191596984863,,,-2.470714569091797,-12.280423164367676,,,27,0.8019948601722717,-0.03703075647354126,,,,
6,,,,,,,,,27,,,,,0.10826662182807922,
,,,-0.24889636039733887,1.5144927501678467,,,-12.069774627685547,-2.1284189224243164,7,,,-0.04458194598555565,0.8210872411727905,,
7,1.5144927501678467,-0.24889636039733887,,,-2.1284189224243164,-12.069774627685547,,,31,0.8210872411727905,-0.04458194598555565,,,,
7,,,,,,,,,31,,,,,0.110430046916008,
,,,-0.2701117992401123,1.5165395736694336,,,-11.649405479431152,-1.2710720300674438,8,,,-0.044223539531230927,0.8147722482681274,,
8,1.5165395736694336,-0.2701117992401123,,,-1.2710720300674438,-11.649405479431152,,,35,0.8147722482681274,-0.044223539531230927,,,,
8,,,,,,,,,35,,,,,0.11545571684837341,
,,,-0.6846622228622437,1.2977546453475952,,,-10.153202056884766,-2.035857677459717,9,,,-0.023899279534816742,0.7278866767883301,,
9,1.2977546453475952,-0.6846622228622437,,,-2.035857677459717,-10.153202056884766,,,39,0.7278866767883301,-0.023899279534816742,,,,
9,,,,,,,,,39,,,,,0.14171063899993896,
,,,-0.3180394172668457,1.6092007160186768,,,-9.662910461425781,-1.7307977676391602,10,,,-0.01843899115920067,0.7189841270446777,,
10,1.6092007160186768,-0.3180394172668457,,,-1.7307977676391602,-9.662910461425781,,,43,0.7189841270446777,-0.01843899115920067,,,,
10,,,,,,,,,43,,,,,0.11084359884262085,
,,,-0.3963947296142578,1.563854694366455,,,-11.163857460021973,-1.872714877128601,11,,,-0.03424885869026184,0.791748583316803,,
11,1.563854694366455,-0.3963947296142578,,,-1.872714877128601,-11.163857460021973,,,47,0.791748583316803,-0.03424885869026184,,,,
11,,,,,,,,,47,,,,,0.10859845578670502,
12,,,,,,,,,49,,,,,,0.08669470995664597
,,,-0.3710477352142334,1.5686249732971191,,,-10.555282592773438,-1.2734050750732422,12,,,-0.042113956063985825,0.7759079933166504,,
12,1.5686249732971191,-0.3710477352142334,,,-1.2734050750732422,-10.555282592773438,,,51,0.7759079933166504,-0.042113956063985825,,,,
12,,,,,,,,,51,,,,,0.1339235007762909,
,,,-0.31054043769836426,1.5689513683319092,,,-11.414308547973633,-1.1065205335617065,13,,,-0.03725001960992813,0.8188289999961853,,
13,1.5689513683319092,-0.31054043769836426,,,-1.1065205335617065,-11.414308547973633,,,55,0.8188289999961853,-0.03725001960992813,,,,
13,,,,,,,,,55,,,,,0.10861046612262726,
,,,-0.3703528642654419,1.5406270027160645,,,-10.879408836364746,-1.0122781991958618,14,,,-0.03086167387664318,0.829490602016449,,
14,1.5406270027160645,-0.3703528642654419,,,-1.0122781991958618,-10.879408836364746,,,59,0.829490602016449,-0.03086167387664318,,,,
14,,,,,,,,,59,,,,,0.13201861083507538,
,,,-0.2790646553039551,1.525162696838379,,,-10.474578857421875,-0.7284038066864014,15,,,-0.02759026736021042,0.8139435052871704,,
15,1.525162696838379,-0.2790646553039551,,,-0.7284038066864014,-10.474578857421875,,,63,0.8139435052871704,-0.02759026736021042,,,,
15,,,,,,,,,63,,,,,0.14074675738811493,
,,,-0.24328434467315674,1.609279990196228,,,-10.341705322265625,-0.5679178833961487,16,,,-0.030551277101039886,0.8237708210945129,,
