epoch,pesq_imp_step,pesq_step,si_sdr_imp_step,si_sdr_step,step,stoi_imp_step,stoi_step,train_loss_step
0,,,,,49,,,0.13014961779117584
,-0.04228335618972778,1.1576166152954102,-28.308399200439453,-21.487804412841797,0,-0.041634656488895416,0.7889867424964905,
,-0.5981044173240662,1.3247838020324707,-36.189697265625,-28.13956642150879,1,-0.05409581959247589,0.849656343460083,
,-0.6185921430587769,1.6293864250183105,-26.993698120117188,-19.115493774414062,2,-0.06729520112276077,0.9257888793945312,
,-0.12029671669006348,1.3439171314239502,-40.63152313232422,-32.279212951660156,3,-0.06800724565982819,0.9153758883476257,
,-0.19175875186920166,1.3174229860305786,-28.71845817565918,-20.642831802368164,4,-0.05264692008495331,0.8741758465766907,
,-0.11476987600326538,1.2535960674285889,-26.396684646606445,-19.00855255126953,5,-0.050554998219013214,0.8314198851585388,
,0.05230429768562317,1.2826037406921387,-23.294578552246094,-16.23007583618164,6,-0.03784184530377388,0.8133864998817444,
,0.002797722816467285,1.2935783863067627,-37.8260383605957,-29.18023681640625,7,-0.049857668578624725,0.866987407207489,
,-0.0944356918334961,1.2090325355529785,-38.02619934082031,-29.98079490661621,8,-0.060831598937511444,0.8556464314460754,
