epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-0.14859247207641602,1.638920545578003,,,-18.358104705810547,-7.979762077331543,0,,,-0.03134994953870773,0.8278169631958008,,
0,1.638920545578003,-0.14859247207641602,,,-7.979762077331543,-18.358104705810547,,,3,0.8278169631958008,-0.03134994953870773,,,,
0,,,,,,,,,3,,,,,0.15395545959472656,
,,,-0.24526727199554443,1.6356819868087769,,,-18.72064971923828,-8.418231010437012,1,,,-0.03152882680296898,0.8186315298080444,,
1,1.6356819868087769,-0.24526727199554443,,,-8.418231010437012,-18.72064971923828,,,7,0.8186315298080444,-0.03152882680296898,,,,
1,,,,,,,,,7,,,,,0.1495925486087799,
,,,-0.5584850311279297,1.4504704475402832,,,-27.820465087890625,-19.301477432250977,2,,,-0.03763880208134651,0.7328991293907166,,
2,1.4504704475402832,-0.5584850311279297,,,-19.301477432250977,-27.820465087890625,,,11,0.7328991293907166,-0.03763880208134651,,,,
2,,,,,,,,,11,,,,,0.15353912115097046,
,,,-0.5474151372909546,1.4041346311569214,,,-26.549236297607422,-17.31012725830078,3,,,-0.05634160339832306,0.7511902451515198,,
3,1.4041346311569214,-0.5474151372909546,,,-17.31012725830078,-26.549236297607422,,,15,0.7511902451515198,-0.05634160339832306,,,,
3,,,,,,,,,15,,,,,0.120753213763237,
,,,-0.5856883525848389,1.367523193359375,,,-20.634201049804688,-10.802684783935547,4,,,-0.06903107464313507,0.7696695327758789,,
4,1.367523193359375,-0.5856883525848389,,,-10.802684783935547,-20.634201049804688,,,19,0.7696695327758789,-0.06903107464313507,,,,
4,,,,,,,,,19,,,,,0.11873507499694824,
,,,-0.5621558427810669,1.4232600927352905,,,-13.328603744506836,-4.776180744171143,5,,,-0.060235973447561264,0.7288322448730469,,
5,1.4232600927352905,-0.5621558427810669,,,-4.776180744171143,-13.328603744506836,,,23,0.7288322448730469,-0.060235973447561264,,,,
5,,,,,,,,,23,,,,,0.14461398124694824,
,,,-0.29172444343566895,1.4997470378875732,,,-12.847360610961914,-2.758485794067383,6,,,-0.07938775420188904,0.7852270007133484,,
6,1.4997470378875732,-0.29172444343566895,,,-2.758485794067383,-12.847360610961914,,,27,0.7852270007133484,-0.07938775420188904,,,,
6,,,,,,,,,27,,,,,0.1374821811914444,
,,,-0.32356178760528564,1.448180079460144,,,-10.665472030639648,-0.5987698435783386,7,,,-0.07075762748718262,0.7879928946495056,,
7,1.448180079460144,-0.32356178760528564,,,-0.5987698435783386,-10.665472030639648,,,31,0.7879928946495056,-0.07075762748718262,,,,
7,,,,,,,,,31,,,,,0.1106327623128891,
,,,-0.28838610649108887,1.6803276538848877,,,-8.942537307739258,0.20737840235233307,8,,,-0.055746983736753464,0.7592633366584778,,
8,1.6803276538848877,-0.28838610649108887,,,0.20737840235233307,-8.942537307739258,,,35,0.7592633366584778,-0.055746983736753464,,,,
8,,,,,,,,,35,,,,,0.1248505562543869,
,,,-0.34641003608703613,1.6558537483215332,,,-7.347519874572754,1.4860379695892334,9,,,-0.04547635465860367,0.7465815544128418,,
9,1.6558537483215332,-0.34641003608703613,,,1.4860379695892334,-7.347519874572754,,,39,0.7465815544128418,-0.04547635465860367,,,,
9,,,,,,,,,39,,,,,0.11005226522684097,
,,,-0.22440147399902344,1.7776098251342773,,,-6.27152681350708,2.2679600715637207,10,,,-0.038128189742565155,0.741527795791626,,
10,1.7776098251342773,-0.22440147399902344,,,2.2679600715637207,-6.27152681350708,,,43,0.741527795791626,-0.038128189742565155,,,,
10,,,,,,,,,43,,,,,0.11624497175216675,
,,,-0.2235950231552124,1.799477458000183,,,-6.413882732391357,2.1087231636047363,11,,,-0.019588418304920197,0.7531822323799133,,
11,1.799477458000183,-0.2235950231552124,,,2.1087231636047363,-6.413882732391357,,,47,0.7531822323799133,-0.019588418304920197,,,,
11,,,,,,,,,47,,,,,0.10765093564987183,
12,,,,,,,,,49,,,,,,0.0970148965716362
,,,-0.3052370548248291,1.5286762714385986,,,-7.613287925720215,2.0431854724884033,12,,,-0.03739411383867264,0.8199537992477417,,
12,1.5286762714385986,-0.3052370548248291,,,2.0431854724884033,-7.613287925720215,,,51,0.8199537992477417,-0.03739411383867264,,,,
12,,,,,,,,,51,,,,,0.1082732081413269,
,,,-0.1135263442993164,1.7077476978302002,,,-7.149273872375488,3.0905866622924805,13,,,-0.03635428473353386,0.819053053855896,,
13,1.7077476978302002,-0.1135263442993164,,,3.0905866622924805,-7.149273872375488,,,55,0.819053053855896,-0.03635428473353386,,,,
13,,,,,,,,,55,,,,,0.10020297020673752,
,,,-0.26266515254974365,1.6922537088394165,,,-6.622947692871094,2.5859591960906982,14,,,-0.033186815679073334,0.7894731760025024,,
14,1.6922537088394165,-0.26266515254974365,,,2.5859591960906982,-6.622947692871094,,,59,0.7894731760025024,-0.033186815679073334,,,,
14,,,,,,,,,59,,,,,0.11276628077030182,
,,,-0.12040162086486816,1.62040376663208,,,-7.566064834594727,2.531299352645874,15,,,-0.036740727722644806,0.8280460238456726,,
15,1.62040376663208,-0.12040162086486816,,,2.531299352645874,-7.566064834594727,,,63,0.8280460238456726,-0.036740727722644806,,,,
15,,,,,,,,,63,,,,,0.10714556276798248,
,,,-0.17493999004364014,1.8022117614746094,,,-7.30512809753418,2.503106117248535,16,,,-0.01912427879869938,0.8171679973602295,,
16,1.8022117614746094,-0.17493999004364014,,,2.503106117248535,-7.30512809753418,,,67,0.8171679973602295,-0.01912427879869938,,,,
16,,,,,,,,,67,,,,,0.12351091206073761,
,,,-0.1429760456085205,1.7825987339019775,,,-4.2707414627075195,3.6605758666992188,17,,,-0.0008405646658502519,0.7354128360748291,,
17,1.7825987339019775,-0.1429760456085205,,,3.6605758666992188,-4.2707414627075195,,,71,0.7354128360748291,-0.0008405646658502519,,,,
17,,,,,,,,,71,,,,,0.10143198072910309,
,,,-0.11405730247497559,1.6784274578094482,,,-6.163496017456055,3.9239635467529297,18,,,-0.028395140543580055,0.8320430517196655,,
18,1.6784274578094482,-0.11405730247497559,,,3.9239635467529297,-6.163496017456055,,,75,0.8320430517196655,-0.028395140543580055,,,,
18,,,,,,,,,75,,,,,0.12148717790842056,
,,,-0.15539491176605225,1.8430333137512207,,,-4.760716438293457,3.761744737625122,19,,,-0.003924458287656307,0.7591211795806885,,
19,1.8430333137512207,-0.15539491176605225,,,3.761744737625122,-4.760716438293457,,,79,0.7591211795806885,-0.003924458287656307,,,,
19,,,,,,,,,79,,,,,0.09667771309614182,
