epoch,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-31.90300941467285,-23.351022720336914,0,,,-0.026322126388549805,0.7535351514816284,,
0,-23.351022720336914,-31.90300941467285,,,3,0.7535351514816284,-0.026322126388549805,,,,
0,,,,,3,,,,,0.12137788534164429,
,,,-74.94282531738281,-64.89817810058594,1,,,-0.05742127075791359,0.8061946034431458,,
1,-64.89817810058594,-74.94282531738281,,,7,0.8061946034431458,-0.05742127075791359,,,,
1,,,,,7,,,,,0.152864009141922,
,,,-27.696773529052734,-17.7535400390625,2,,,-0.06002672389149666,0.8008254766464233,,
2,-17.7535400390625,-27.696773529052734,,,11,0.8008254766464233,-0.06002672389149666,,,,
2,,,,,11,,,,,0.11867659538984299,
,,,-21.152259826660156,-11.293004989624023,3,,,-0.0728900283575058,0.7846104502677917,,
3,-11.293004989624023,-21.152259826660156,,,15,0.7846104502677917,-0.0728900283575058,,,,
3,,,,,15,,,,,0.12464094907045364,
,,,-16.6844539642334,-7.135867595672607,4,,,-0.06752090901136398,0.782625675201416,,
4,-7.135867595672607,-16.6844539642334,,,19,0.782625675201416,-0.06752090901136398,,,,
4,,,,,19,,,,,0.12990306317806244,
,,,-15.847745895385742,-7.078344345092773,5,,,-0.0726158618927002,0.7286792397499084,,
5,-7.078344345092773,-15.847745895385742,,,23,0.7286792397499084,-0.0726158618927002,,,,
5,,,,,23,,,,,0.12349093705415726,
,,,-14.94732666015625,-4.928341388702393,6,,,-0.06505884230136871,0.7936588525772095,,
6,-4.928341388702393,-14.94732666015625,,,27,0.7936588525772095,-0.06505884230136871,,,,
6,,,,,27,,,,,0.12315758317708969,
,,,-14.539480209350586,-4.276642799377441,7,,,-0.07361485809087753,0.78799968957901,,
7,-4.276642799377441,-14.539480209350586,,,31,0.78799968957901,-0.07361485809087753,,,,
7,,,,,31,,,,,0.13863767683506012,
,,,-13.025409698486328,-4.481432914733887,8,,,-0.056867096573114395,0.7294307351112366,,
8,-4.481432914733887,-13.025409698486328,,,35,0.7294307351112366,-0.056867096573114395,,,,
8,,,,,35,,,,,0.12127125263214111,
,,,-13.650869369506836,-5.7403669357299805,9,,,-0.038307610899209976,0.6816545724868774,,
9,-5.7403669357299805,-13.650869369506836,,,39,0.6816545724868774,-0.038307610899209976,,,,
9,,,,,39,,,,,0.12988686561584473,
,,,-12.612549781799316,-3.779317855834961,10,,,-0.054197147488594055,0.7376747727394104,,
10,-3.779317855834961,-12.612549781799316,,,43,0.7376747727394104,-0.054197147488594055,,,,
10,,,,,43,,,,,0.1063709631562233,
,,,-13.129945755004883,-3.2403457164764404,11,,,-0.07282334566116333,0.7870470285415649,,
11,-3.2403457164764404,-13.129945755004883,,,47,0.7870470285415649,-0.07282334566116333,,,,
11,,,,,47,,,,,0.10128011554479599,
12,,,,,49,,,,,,0.08569446951150894
,,,-12.255475997924805,-2.168705463409424,12,,,-0.058886270970106125,0.7923151254653931,,
12,-2.168705463409424,-12.255475997924805,,,51,0.7923151254653931,-0.058886270970106125,,,,
12,,,,,51,,,,,0.1044551283121109,
,,,-11.333165168762207,-2.5849506855010986,13,,,-0.042558856308460236,0.7557994723320007,,
13,-2.5849506855010986,-11.333165168762207,,,55,0.7557994723320007,-0.042558856308460236,,,,
13,,,,,55,,,,,0.10119163990020752,
,,,-11.78167724609375,-1.7139229774475098,14,,,-0.04191106930375099,0.8234024047851562,,
14,-1.7139229774475098,-11.78167724609375,,,59,0.8234024047851562,-0.04191106930375099,,,,
14,,,,,59,,,,,0.10734526813030243,
,,,-11.28927230834961,-2.9054112434387207,15,,,-0.015582574531435966,0.7402291297912598,,
15,-2.9054112434387207,-11.28927230834961,,,63,0.7402291297912598,-0.015582574531435966,,,,
15,,,,,63,,,,,0.10329777002334595,
,,,-9.906576156616211,-1.3597509860992432,16,,,-0.023673608899116516,0.7606370449066162,,
16,-1.3597509860992432,-9.906576156616211,,,67,0.7606370449066162,-0.023673608899116516,,,,
16,,,,,67,,,,,0.12175530940294266,
,,,-8.861438751220703,0.4433909058570862,17,,,-0.025435561314225197,0.7934988141059875,,
17,0.4433909058570862,-8.861438751220703,,,71,0.7934988141059875,-0.025435561314225197,,,,
17,,,,,71,,,,,0.09957583248615265,
,,,-9.70623779296875,0.1752622127532959,18,,,-0.043016236275434494,0.8121498823165894,,
18,0.1752622127532959,-9.70623779296875,,,75,0.8121498823165894,-0.043016236275434494,,,,
18,,,,,75,,,,,0.13051612675189972,
,,,-8.86836051940918,1.4346699714660645,19,,,-0.02871144935488701,0.824552059173584,,
19,1.4346699714660645,-8.86836051940918,,,79,0.824552059173584,-0.02871144935488701,,,,
19,,,,,79,,,,,0.09537845104932785,
