epoch,pesq_epoch,pesq_imp_epoch,pesq_imp_step,pesq_step,si_sdr_epoch,si_sdr_imp_epoch,si_sdr_imp_step,si_sdr_step,step,stoi_epoch,stoi_imp_epoch,stoi_imp_step,stoi_step,train_loss_epoch,train_loss_step
,,,-0.09895309805870056,1.1377942562103271,,,-21.842239379882812,-14.442965507507324,0,,,-0.0350935235619545,0.8161943554878235,,
,,,-0.6080792546272278,1.3029897212982178,,,-19.218950271606445,-11.996684074401855,1,,,-0.046906374394893646,0.8249387145042419,,
,,,-0.7238032817840576,1.5359443426132202,,,-22.944713592529297,-15.512369155883789,2,,,-0.057697609066963196,0.92914879322052,,
,,,-0.20730185508728027,1.1976099014282227,,,-18.55397605895996,-9.738698959350586,3,,,-0.050638776272535324,0.9348294138908386,,
0,1.2935845851898193,-0.40953436493873596,,,-12.922679901123047,-20.639970779418945,,,12,0.8762778639793396,-0.04758407175540924,,,,
0,,,,,,,,,12,,,,,0.2641710937023163,
,,,-0.04541179537773132,1.1163439750671387,,,-28.946046829223633,-22.141019821166992,4,,,-0.04691789671778679,0.7912219762802124,,
,,,-0.6772066950798035,1.2325650453567505,,,-42.57439041137695,-34.47412109375,5,,,-0.0647333413362503,0.8364295363426208,,
,,,-0.6194144487380981,1.3804864883422852,,,-26.347505569458008,-19.117977142333984,6,,,-0.07743193209171295,0.9152604937553406,,
,,,-0.18284082412719727,1.1655302047729492,,,-29.90755271911621,-21.479137420654297,7,,,-0.07574589550495148,0.9082714319229126,,
1,1.2237313985824585,-0.38121843338012695,,,-24.30306625366211,-31.94387435913086,,,25,0.8627958297729492,-0.06620726734399796,,,,
1,,,,,,,,,25,,,,,0.1741817742586136,
,,,-0.11590027809143066,1.1396422386169434,,,-22.95425033569336,-15.795210838317871,8,,,-0.04525282606482506,0.7938177585601807,,
,,,-0.6608873605728149,1.243221402168274,,,-28.208515167236328,-20.424875259399414,9,,,-0.0654592290520668,0.808613657951355,,
,,,-0.8064545392990112,1.3833082914352417,,,-27.398500442504883,-20.518529891967773,10,,,-0.0799916535615921,0.9110540151596069,,
,,,-0.29669204354286194,1.2046003341674805,,,-20.712677001953125,-12.47628116607666,11,,,-0.07104218006134033,0.9124279618263245,,
2,1.2426930665969849,-0.4699835479259491,,,-17.30372428894043,-24.818485260009766,,,38,0.8564783334732056,-0.0654364675283432,,,,
2,,,,,,,,,38,,,,,0.16457150876522064,
3,,,,,,,,,49,,,,,,0.18572808802127838
,,,-0.10609975457191467,1.1349269151687622,,,-24.308074951171875,-17.365478515625,12,,,-0.044091105461120605,0.7788604497909546,,
,,,-0.6358250379562378,1.2718894481658936,,,-23.042762756347656,-16.140851974487305,13,,,-0.05066310986876488,0.822867751121521,,
,,,-0.8231229782104492,1.4877409934997559,,,-22.943838119506836,-15.63685417175293,14,,,-0.0711480900645256,0.9191140532493591,,
